,compound,create_date,negative,neutral,news_media,positive,tweets_ago
91,0.0,2018-07-01 04:00:09+00:00,0.0,1.0,CNN,0.0,-91
92,0.0,2018-07-01 03:30:13+00:00,0.0,1.0,CNN,0.0,-92
93,0.0,2018-07-01 03:00:10+00:00,0.0,1.0,CNN,0.0,-93
94,0.3182,2018-07-01 02:30:07+00:00,0.0,0.813,CNN,0.187,-94
95,0.0,2018-07-01 02:00:14+00:00,0.0,1.0,CNN,0.0,-95
96,-0.296,2018-07-01 01:30:13+00:00,0.167,0.833,CNN,0.0,-96
97,-0.765,2018-07-01 01:00:06+00:00,0.458,0.542,CNN,0.0,-97
98,0.6369,2018-07-01 00:30:08+00:00,0.0,0.704,CNN,0.296,-98
99,0.7269,2018-07-01 00:00:09+00:00,0.0,0.697,CNN,0.303,-99
0,0.0,2018-07-02 02:51:31+00:00,0.0,1.0,fox,0.0,0
1,0.891,2018-07-02 02:47:28+00:00,0.0,0.463,fox,0.537,-1
2,-0.2975,2018-07-02 02:11:12+00:00,0.309,0.478,fox,0.213,-2
3,-0.5719,2018-07-02 02:10:35+00:00,0.18,0.745,fox,0.075,-3
4,0.0,2018-07-02 02:04:16+00:00,0.0,1.0,fox,0.0,-4
5,0.0,2018-07-02 02:04:04+00:00,0.0,1.0,fox,0.0,-5
6,0.3612,2018-07-01 22:52:03+00:00,0.0,0.615,fox,0.385,-6
7,0.0,2018-06-30 11:22:36+00:00,0.0,1.0,fox,0.0,-7
8,-0.4939,2018-06-30 08:19:58+00:00,0.138,0.862,fox,0.0,-8
9,-0.0772,2018-06-30 08:18:20+00:00,0.169,0.674,fox,0.157,-9
10,0.34,2018-06-30 08:09:27+00:00,0.0,0.893,fox,0.107,-10
11,-0.4767,2018-06-30 08:07:33+00:00,0.134,0.866,fox,0.0,-11
12,0.6808,2018-06-30 08:04:10+00:00,0.107,0.573,fox,0.321,-12
13,-0.5106,2018-06-30 08:01:57+00:00,0.265,0.602,fox,0.133,-13
14,-0.4215,2018-06-30 04:43:58+00:00,0.141,0.859,fox,0.0,-14
15,-0.7783,2018-06-30 04:41:52+00:00,0.815,0.185,fox,0.0,-15
16,0.0,2018-06-30 04:34:22+00:00,0.0,1.0,fox,0.0,-16
17,0.0,2018-06-30 04:31:26+00:00,0.0,1.0,fox,0.0,-17
18,0.0,2018-06-30 02:11:57+00:00,0.0,1.0,fox,0.0,-18
19,0.7569,2018-06-30 02:01:27+00:00,0.0,0.435,fox,0.565,-19
20,0.3612,2018-06-30 02:01:05+00:00,0.0,0.667,fox,0.333,-20
21,-0.8176,2018-06-30 00:57:09+00:00,0.246,0.754,fox,0.0,-21
22,0.2006,2018-06-29 23:54:44+00:00,0.147,0.675,fox,0.178,-22
23,0.3612,2018-06-29 23:52:30+00:00,0.0,0.872,fox,0.128,-23
